MP3 player;Sim
Bluetooth;Sim
Bluetooth Estéreo (ouça suas músicas em um dispositivo Bluetooth);Não
Wi-Fi;Sim
Suporte a GPS;Sim
Mensagens;SMS
;MMS
;E-mail
Processador;Chip A9 com arquitetura de 64 bits
Som;MP3 Player
Resolução da câmera;Traseira 12MP e Frontal 5MP
Cor;Prata
Grava vídeo;Sim
Memória interna;32 Total sendo uma parte usada para o sistema operacional e aplicativos pré-instalados (Software e aplicativos pré-instalados usam uma quantidade considerável de espaço de memória interna.)
Características Gerais;- Tela Retina HD com 3D Touch widescreen de 4,7 polegadas retroiluminada por LED com resolução de 1334 x 750 - Revestimento frontal resistente a impressão digital e oleosidade - Tecnologia 3D Touch: Um jeito completamente novo de tocar a tela - Chip A9 com arquitetura de 64 bits. - Coprocessador de movimento M9 integrado - Nova câmera iSight de 12 megapixels com pixels de 1,22 µ - Sensor de impressão digital integrado ao botão de Início - iOS 9 o sistema operacional móvel mais avançado do mundo
Quadriband GSM;Sim
Frequências;GSM 850/900/1800/1900 MHz
Câmera traseira;Sim
Câmera frontal;Sim
Tipo do Chip;Nano SIM
Conectividade;USB, Bluetooth 4.1, Wi-Fi 802.11a/b/g/n/ac com MIMO, NFC
Duração da bateria (em uso);Até 14 horas em 3G
Duração da bateria (stand by);Até 10 dias
Resolução do visor/display (pixels);1334 x 750
Tamanho do visor (cm);11,9
Conteúdo da Embalagem;- Aparelho iPhone 6s com iOS 9 - Apple EarPods com controle remoto e microfone - Cabo de Lightning para USB - Carregador USB - Documentação
Garantia;12 meses
Observações;1.Este é um aparelho desbloqueado e está habilitado para que funcione com operadoras nacionais (Claro, Oi, TIM, Vivo, Porto Seguro Conecta, Sercomtel Celular, Algar Celular), com Tecnologias GSM, 3G e 4G (LTE). Para utilizar este celular é preciso ter um chip (vendido separadamente). 2.4G LTE só está disponível em alguns países e através de determinadas operadoras. As velocidades são baseadas em taxas de transferência teóricas e variam de acordo com as condições do local. Para obter detalhes sobre a compatibilidade com 4G LTE, entre em contato com a sua operadora e consulte www.apple.com/iphone/LTE. 3.Todas as informações referentes à bateria dependem da configuração da rede e de vários outros fatores; os resultados reais podem ser diferentes. A bateria tem um número limitado de ciclos de recarga e deverá ser substituída em uma assistência técnica Apple. A vida útil e a duração da bateria variam de acordo com o uso e a configuração.
Altura;13,83 Centimetros
Largura;6,71 Centimetros
Profundidade;7,10 Milimetros
Peso;143,00 Gramas
Telefone:;0800-761-0880
E-mail/Site:;https://locate.apple.com/br/pt/



Nome Produto: ;Smartphone Lenovo Vibe K6 Plus Dourado com 32GB, Tela 5.5", Câmera 16MP, 4G, Dual Chip, Android 6.0, RAM de 3GB e Processador Qualcomm Octa-Core
Preco: ;1.239,00
RAM;3GB
Sistema Operacional;Android 6.0 Marshmallow
Tipo;Barra
Tecnologia;GSM
;3G
;4G
Slot para cartão;MicroSD até 128GB
Cartão incluso;Não
Rádio FM;Sim
MP3 player;Sim
Bluetooth;Sim
Bluetooth Estéreo (ouça suas músicas em um dispositivo Bluetooth);Não
Wi-Fi;Sim
Suporte a GPS;Sim
Mensagens;SMS
;MMS
;E-mail
Processador;Qualcomm Snapdragon 430 (MSM8937) Octa-core sendo Quad-core 1.4 GHz + Quad-core 1.1 GHz
Formato de áudio;MP3
;Midi
;AAC
;AMR
;WAV
Som;Rádio FM
;MP3 Player
Resolução da câmera;Traseira 16MP e Frontal 8MP
Cor;Dourado
Grava vídeo;Sim
Memória interna;32GB Total sendo uma parte usada para o sistema operacional e aplicativos pré-instalados (Software e aplicativos pré-instalados usam uma quantidade considerável de espaço de memória interna.)
Características Gerais;- Som estéreo Dolby Atmos® imersivo de alta qualidade - Sensor de impressão digital - Acabamento em alumínio Premium - Processador Octa-core e 3GB RAM - 32 GB de memória - Tela de 5.5” com resolução Full HD - Câmera traseira de 16MP com flash LED duplo, Foco PDAF e captura de vídeos em Full HD - Câmera frontal de 8MP com V-Selfie (acionamento automático à distância usando apenas os dedos em formato de “V”) - Bateria de 4000 mAh.
Quadriband GSM;Sim
Frequências;GSM 850/900/1800/1900 MHz
Câmera traseira;Sim
Câmera frontal;Sim
Tipo do Chip;Nano SIM
Dual Chip;sim
Conectividade;USB, Bluetooth 4.1, Wi-Fi 802.11 b/g/n
Duração da bateria (em uso);Até 24 h (3G)
Duração da bateria (stand by);Até 300 h
Resolução do visor/display (pixels);1920x1080
Tamanho do visor (cm);13,9
Conteúdo da Embalagem;- Aparelho Smartphone Lenovo Vibe K6 Plus - kit de manuais - Fone de ouvido - Carregado - Cabo para sincronização - Ferramenta de remoção do Cartão SIM
Garantia;12 meses
Observações;1.Este é um aparelho desbloqueado e está habilitado para que funcione com operadoras nacionais (Claro, Oi, TIM, Vivo, Porto Seguro Conecta, Sercomtel Celular, Algar Celular), com Tecnologias GSM, 3G e 4G (LTE). Para utilizar este celular é preciso ter um chip (vendido separadamente). 2.Este é um celular Dual Chip, ou seja, funciona com dois chips no mesmo aparelho. 3. Todas as informações referentes à duração da bateria são aproximadas e baseiam-se em um perfil padrão de uso misto. O perfil de uso misto se baseia em dispositivos Lenovo VIBE, com um cartão SIM, nas principais redes 4G LTE com excelente cobertura e inclui tempos de uso e espera. Configurações padrão de fábrica são aplicadas ao perfil misto para estimativa do desempenho de bateria. O desempenho real da bateria pode variar e depende de muitos fatores, tais como intensidade do sinal, configuração de rede, idade da bateria, temperatura de operação, funções selecionadas, configurações do dispositivo e os padrões de uso de dados, voz e outros aplicativos. 4.Algumas funções, funcionalidades e especificações do produto podem depender de rede para funcionar e estar sujeitas a termos, condições e taxas adicionais. Todos os tópicos estão sujeitos a alterações sem aviso prévio. O nome LENOVO é uma marca comercial registrada da Lenovo. Android, Google e Google Play são marcas comerciais da Google, Inc. Todas as demais marcas comerciais registradas pertencem aos seus respectivos proprietários. 5.A memória interna corresponde à memória total não formatada. A capacidade disponível ao usuário é menor que a capacidade especificada (32GB), pois depende da versão do sistema operacional, aplicações, conteúdos e dados instalados. A expansão da memória pode ser feita através de um cartão de memória padrão microSD, não incluso. O sistema operacional pode ter limitações quanto à instalação de aplicativos, gravação ou cópia de conteúdos no cartão de memória. 6.ATENÇÃO: A rede 4G no Brasil é limitada. Consulte uma operadora de telefonia móvel para obter informações de pacotes de dados e cidades de cobertura.
Altura;15,10 Centimetros
Largura;7,60 Centimetros
Profundidade;8,40 Milimetros
Peso;169,00 Gramas
Telefone:;(11) 3140-0500 São Paulo e Grande São Paulo 0800-885-0500 Demais localidades



Nome Produto: ;Smartphone Motorola Moto G4 Plus XT1640 Branco com 32GB, Tela de 5.5'', Dual Chip, Android 6.0, 4G, Câmera 16MP, Processador Octa-Core e 2GB de RAM
Preco: ;1.259,99
RAM;2GB
Sistema Operacional;Android 6.0 Marshmallow
Tipo;Barra
Tecnologia;GSM
;3G
;4G
Slot para cartão;Micro SD até 128GB
Cartão incluso;Não
Rádio FM;Sim
MP3 player;Sim
Bluetooth;Sim
Bluetooth Estéreo (ouça suas músicas em um dispositivo Bluetooth);Não
Wi-Fi;Sim
Suporte a GPS;Sim
Mensagens;SMS
;MMS
;E-mail
Processador;Octa-core Qualcomm Snapdragon (4 x 1.5 GHz + 4 x 1.2 GHz )
Som;Rádio FM
;MP3 Player
Resolução da câmera;Traseira 16MP e Frontal 5MP
Cor;Branco
Grava vídeo;Sim
Memória interna;32GB Total sendo uma parte usada para o sistema operacional e aplicativos pré-instalados
Características Gerais;- Câmera de 16 MP com Flash LED duplo, foco laser e PDAF - Carregamento ultrarápido TurboPower™ - Sensor de impressão digital para desbloqueio rápido - Processador octa-core com 2GB de RAM - Experiência Android™ puro - Velocidade 4G - Resistente a respingos d'água*. - Bateria que dura o dia todo***
Quadriband GSM;Sim
Câmera traseira;Sim
Frequências;GSM 850/900/1800/1900 MHz
Câmera frontal;Sim
Tipo do Chip;Micro SIM
Dual Chip;sim
Conectividade;Bluetooth 4.1, Wi-Fi 802.11 a/b/g/n
Resolução do visor/display (pixels);1920x1080 Full HD
Tamanho do visor (cm);13,9
Conteúdo da Embalagem;- Smartphone Moto G4 Plus XT1640 - Kit de manuais - Fone de ouvido estereo - Cabo para sincronismo - Carregador de parede turbopower™ - 2 Capas traseira (branca e lava)
Garantia;12 meses
