Expansivo até: ;MicroSD Até 128 GB
Alimentação/Tipo de bateria: ;Íons de Lítio 3000 mAh
Banda: ;GSM: GSM850, GSM900, DCS1800, PCS1900; 3G: B1(2100), B2(1900), B4(AWS), B5(850), B8(900); 4G: B1(2100), B2(1900), B3(1800), B4(AWS), B5(850), B7(2600), B17(700), B28(700)
Conectividade: ;4G
NFC: ;Não
TV: ;Não
Conteúdo da Embalagem: ;Aparelho; Bateria; Carregador; Fone de ouvido; Cabo USB
Dimensões aproximadas do produto - cm (AxLxP): ;15,2x7,6x7cm
Peso líq. aproximado do produto (kg): ;145g
Garantia do Fornecedor: ;12 meses
Referência do modelo: ;SM-J700MZWDZTO
Fornecedor: ;Samsung
SAC: ;São Paulo 4004-0000 ou para outros Estados 0800 124 421



Nome Produto: ;Smartphone Samsung Galaxy J5 Duos Dual Chip Android 5.1 Tela 5" 16GB 4G Wi-Fi Câmera 13MP - Preto
Preco: ;R$ 709,99
Código: ;124132620
Código de barras: ;7892509081610, 7892509081092
Marca: ;Samsung
Cor: ;Preto
Tipo de Chip: ;Micro Chip
Quantidade de Chips: ;Dual Chip
Memória Interna: ;16GB
Memória RAM: ;1.5GB
Processador: ;Quad Core 1.2GHz
Sistema Operacional: ;Android
Tamanho do Display: ;5"
Câmera traseira: ;13MP
Câmera frontal: ;5MP
Filmadora: ;Full HD
Expansivo até: ;MicroSD até 64GB
Alimentação/Tipo de bateria: ;Ions de Lítio 2600 mAh
Banda: ;GSM: 850/900/1800/1900 3G: 850 / 900 / 1900 / 2100 / AWS
Conectividade: ;4G
NFC: ;Não
TV: ;Não
Conteúdo da Embalagem: ;Aparelho, Bateria, Carregador, Fone de ouvido e Cabo USB
Dimensões aproximadas do produto - cm (AxLxP): ;14,2x7,1x0,7cm
Peso líq. aproximado do produto (kg): ;146g
Garantia do Fornecedor: ;12 meses
Referência do modelo: ;SM-J500MZKEZTO
Fornecedor: ;Samsung
SAC: ;São Paulo 4004 0000 Outros Estados 0800 124 421



Nome Produto: ;Smartphone LG X Power Dual Chip Android 6.0 Tela 5.3" 16GB 4G Câmera 13MP - Azul Escuro
Preco: ;R$ 619,99
Código: ;128721018
Código de barras: ;7893299907258
Marca: ;LG
Modelo: ;LG X Power
Cor: ;Azul Escuro
Tipo de Chip: ;Nano Chip
Quantidade de Chips: ;Dual Chip
Memória Interna: ;16GB
Memória RAM: ;2GB
Processador: ;Quad Core 1.3 GHz
Sistema Operacional: ;Android
Versão: ;6.0
Tipo de tela: ;LCD IPS
Tamanho do Display: ;5.3"
Resolução: ;HD
Câmera traseira: ;13MP
Câmera frontal: ;5MP
Filmadora: ;Full HD
Expansivo até: ;MicroSD até 32GB
Alimentação/Tipo de bateria: ;4.000 mAh
Banda: ;Download >150 Mbps Upload 50 Mbps EDGE Downlink e Uplink GPRS Downlink e Uplink Terminal 2G 850/900/1800/1900 Terminal 3G 2100/1900/1800/1700/850/900 Terminal 4G B3, B7, B28 Categoria 4G Cat 4
Conectividade: ;Wi-Fi, 3G, 4G
NFC: ;Não
TV: ;Não
Recursos de Chamada: ;Viva Voz, Espera de Chamada
