Altura;14,21 Centimetros
Largura;7,18 Centimetros
Profundidade;7,90 Milimetros
Peso;146,00 Gramas
E-mail/Site:;4004-0000 - capitais e grandes centros, 0800-124-421 demais cidades e regiões



Nome Produto: ;Smartphone LG K10 TV Branco com 16GB, Dual Chip, Tela de 5.3" HD, 4G, Android 6.0, Câmera 13MP e Processador Octa Core de 1.14 GHz
Preco: ;729,00
RAM;1GB
Sistema Operacional;Android 6.0 Marshmallow
Tipo;Barra
Tecnologia;GSM
;3G
;4G
Slot para cartão;MicroSD até 32GB
Cartão incluso;Não
Rádio FM;Sim
MP3 player;Sim
Bluetooth;Sim
Bluetooth Estéreo (ouça suas músicas em um dispositivo Bluetooth);Não
Wi-Fi;Sim
Visualizador de arquivos;Sim
Suporte a GPS;Sim
Mensagens;SMS
;MMS
;E-mail
Processador;Mediatek MT6753 Octacore de 1.14 Ghz
Sintonizador de TV;Digital
Som;Rádio FM
;MP3 Player
Resolução da câmera;Traseira 13MP e Frontal 8MP
Cor;Branco
Grava vídeo;Sim
Memória interna;16GB Total sendo uma parte usada para o sistema operacional e aplicativos pré-instalados
Características Gerais;- Tela HD de 5,3” com Tecnologia In-cell - Desempenho Octa-Core - Câmera Principal de 13MP com flash LED - Câmera frontal de 8MP para Selfie com Quick Selfie 2.0 e Virtual Flash* - Bateria Removível de 2.300 mAh - A melhor experiência Dual Chip - Velocidade 4G *Virtual Flash é uma tecnologia que depende apenas que o usuário aperte o botão “Flash” com a câmera frontal ativada, para a tela exibir um quadro branco de alto brilho, simulando um flash e iluminando o rosto a ser fotografado.
Quadriband GSM;Sim
Frequências;GSM 850/900/1800/1900 MHz
Câmera traseira;Sim
Câmera frontal;Sim
Tipo do Chip;Nano SIM
Dual Chip;sim
Conectividade;USB, Bluetooth 4.0, Wi-Fi 802.11 b/g/n
Resolução do visor/display (pixels);720x1280 (HD)
Tamanho do visor (cm);13,4
Conteúdo da Embalagem;- Aparelho Smartphone LG K10 TV - Branco - Bateria - Fone de Ouvido - Carregador de Viagem - Manual - Adaptador de TV LG
Garantia;12 Meses
Observações;1.Para utilizar este celular é preciso ter um chip (vendido separadamente). Este aparelho está habilitado para que funcione com operadoras nacionais com Tecnologia GSM (Vivo, Oi, Tim, Claro, Brasil Telecom, CTBC, Sercomtel, Telemig). 2.Este é um celular Dual Chip, ou seja, funciona com dois chips no mesmo aparelho. 3.O desempenho da bateria pode variar dependendo de diversos fatores como: configuração do celular, da rede, potência do sinal e temperatura de operação. 4. A capacidade de memória interna ROM ( Read-Only Memory ) disponível ao usuário é menor que a capacidade especificada (16GB), devido ao sistema operacional e às aplicações padrões que já vem instaladas no aparelho, ocupando parte da memória. A capacidade disponível pode variar ao atualizar o aparelho. ATENÇÃO: A rede 4G no Brasil é limitada. Consulte uma operadora de telefonia móvel para obter informações de pacotes de dados e cidades de cobertura.
Altura;14,66 Centimetros
Largura;7,48 Centimetros
Profundidade;8,80 Milimetros
Peso;153,00 Gramas
Telefone:;Para todo o Brasil exceto capitais e regiões metropolitanas: 0800 707 5454 Para capitais e regiões metropolitanas: 4004 5400
E-mail/Site:;www.lge.com/br/index.jsp



Nome Produto: ;Smartphone Motorola Moto G5 Plus TV XT1683 Platinum com 32GB, Tela 5.2'', Dual Chip, Android 7.0, 4G, Câmera 12MP, Processador Octa-Core e 2GB de RAM
Preco: ;1.299,00
RAM;2GB
Sistema Operacional;Android 7.0 (Nougat)
Tipo;Barra
Tecnologia;GSM
;3G
;4G
Slot para cartão;MicroSD até 128GB
Cartão incluso;Não
Rádio FM;Sim
MP3 player;Sim
Bluetooth;Sim
Bluetooth Estéreo (ouça suas músicas em um dispositivo Bluetooth);Não
Wi-Fi;Sim
Suporte a GPS;Sim
Mensagens;SMS
;MMS
;E-mail
Processador;Snapdragon 625 (MSM8953) Octa-Core de 2.0 GHz
Sintonizador de TV;Digital
Som;Rádio FM
;MP3 Player
Resolução da câmera;Traseira 12MP com Flash LED duplo e Frontal 5MP com Lente grande angular de 85 graus
Cor;Cinza
Grava vídeo;Sim
Memória interna;32GB Total sendo uma parte usada para o sistema operacional e aplicativos pré-instalados
Características Gerais;- Design sofisticado com acabamento metálico - Sensor de impressão digital multifunção - Câmera de 12 MP com tecnologia Dual Pixel - Resistente a respingos d'água* - Bateria que dura o dia todo e carregamento TurboPower*** - Processador octa-core com 2 GHz de RAM - Experiências Moto exclusivas
Quadriband GSM;Sim
Frequências;GSM 850/900/1800/1900 MHz
Câmera traseira;Sim
Câmera frontal;Sim
Tipo do Chip;Nano SIM
Dual Chip;sim
Conectividade;Bluetooth 4.2, Wi-Fi 802.11 a/b/g/n
Resolução do visor/display (pixels);1920x1080 Full HD
Tamanho do visor (cm);13,2
Conteúdo da Embalagem;- Smartphone Moto G5 Plus TV XT1683 - Kit de manuais - Cabo de sincronização - Fone de ouvido - Carregador de parede turbopower™ 15w - Ferramenta de remoção do sim - Antena de Tv digital móvel
Garantia;12 meses
Observações;1.Este é um aparelho desbloqueado e está habilitado para que funcione com operadoras nacionais (Claro, Oi, TIM, Vivo, Porto Seguro Conecta, Sercomtel Celular, Algar Celular), com Tecnologias GSM, 3G e 4G (LTE). Para utilizar este celular é preciso ter um chip (vendido separadamente). 2.Este é um celular Dual Chip, ou seja, funciona com dois chips no mesmo aparelho. 3.A capacidade de memória interna disponível ao usuário é menor que a capacidade especificada (32GB), devido ao sistema operacional e às aplicações padrões que já vem instaladas no aparelho, ocupando parte da memória. A capacidade disponível pode variar ao atualizar o aparelho. * A avançada tecnologia de nanorrevestimento cria uma barreira que repele a água, ajudando a proteger contra exposições moderadas a água, tais como derramamentos, respingos ou chuva leve. Não é projetado para ser submerso na água, nem exposto a água ou outros líquidos aplicados sob pressão. Não é à prova da água. ** Depende de disponibilidade de sinal de TV digital. O pacote inclui uma antena que pode ser utilizada para melhorar a recepção de sinal. *** Todas as informações referentes à duração da bateria são aproximadas e se baseiam em um perfil médio padrão de uso misto. O perfil de uso misto se baseia em dispositivos Motorola, com um cartão SIM, nas principais redes 4G LTE com excelente cobertura e inclui tempos de uso e espera. Configurações padrão de fábrica são aplicadas ao perfil misto para estimativa do desempenho debateria. O desempenho real pode variar dependendo de muitos fatores, incluindo intensidade do sinal, configuração da rede, idade da bateria, temperatura de operação, recursos selecionados, configurações do dispositivo, serviços de voz, dados e outros padrões de uso de aplicativos. A funcionalidade Dual Chip da Motorola sugere ou seleciona automaticamente um chip (SIM) para ligação de voz com base na operadora de seu contato ou histórico de chamadas. O chip selecionado para conexão de dados, ou primário, é automaticamente definido como 3G/4G, de forma a usar a tecnologia mais rápida de conexão de dados, independente do slot em que o SIM card esteja inserido. O chip sem conexão de dados, ou secundário, é automaticamente definido para 2G/3G para chamadas de voz. A cobertura e qualidade do sinal dependem de sua área e da operadora provedora dos serviços. ATENÇÃO: A rede 4G no Brasil é limitada. Consulte uma operadora de telefonia móvel para obter informações de pacotes de dados e cidades de cobertura.
Altura;15,02 Centimetros
Largura;7,40 Centimetros
Profundidade;7,70 Milimetros
Peso;160,00 Gramas
Telefone:;4002-1244 (capitais e regiões metropolitanas) ou 0800 773 1244 demais localidades



Nome Produto: ;Smartphone Motorola Moto G4 Plus XT1640 Preto com 32GB, Tela de 5.5'', Dual Chip, Android 6.0, 4G, Câmera 16MP, Processador Octa-Core e 2GB de RAM
Preco: ;1.099,00
RAM;2GB
Sistema Operacional;Android 6.0 Marshmallow
Tipo;Barra
Tecnologia;GSM
;3G
;4G
Slot para cartão;Micro SD até 128GB
Cartão incluso;Não
Rádio FM;Sim
MP3 player;Sim
Bluetooth;Sim
Bluetooth Estéreo (ouça suas músicas em um dispositivo Bluetooth);Não
Wi-Fi;Sim
Suporte a GPS;Sim
Mensagens;SMS
;MMS
;E-mail
Processador;Octa-core Qualcomm Snapdragon (4 x 1.5 GHz + 4 x 1.2 GHz )
Som;Rádio FM
;MP3 Player
Resolução da câmera;Traseira 16MP e Frontal 5MP
Cor;Preto
Grava vídeo;Sim
Memória interna;32GB Total sendo uma parte usada para o sistema operacional e aplicativos pré-instalados
